gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints
34	Graz	LASK	S	1,393939394	0,393939394	0,9375	0,235294118	0,529411765	0,25	63	57	1,909090909	1,727272727
34	Admira	Mattersburg	U	1	-0,181818182	0,5	-0,647058824	-0,176470588	-0,1875	50	42	1,515151515	1,272727273
34	Altach	SKN	N	0,393939394	-1,666666667	0,125	-0,764705882	-1,647058824	-1,6875	37	11	1,121212121	0,333333333
34	Rapid	Salzburg	N	1,303030303	1,575757576	0,75	0,764705882	2,117647059	1	58	77	1,757575758	2,333333333
34	WAC	Austria	S	0,212121212	-0,151515152	-0,5	-1,235294118	0,235294118	-0,5625	26	40	0,787878788	1,212121212
35	Rapid	Altach	S	1,176470588	-0,382352941	0,529411765	0,764705882	0	-0,764705882	58	37	1,705882353	1,088235294
35	Salzburg	Mattersburg	S	2,088235294	-0,176470588	2,117647059	1,117647059	-0,176470588	-0,176470588	80	43	2,352941176	1,264705882
35	SKN	Austria	S	-0,382352941	-0,176470588	-1,647058824	-1,470588235	0,235294118	-0,588235294	14	40	0,411764706	1,176470588
35	Graz	Admira	S	1,411764706	-0,088235294	1	0,235294118	0,470588235	-0,647058824	66	51	1,941176471	1,5
35	LASK	WAC	N	0,882352941	-0,823529412	0,529411765	0,117647059	-0,411764706	-1,235294118	57	29	1,676470588	0,852941176
36	Admira	SKN	N	0,942857143	-1,457142857	0,470588235	-0,722222222	-1,444444444	-1,470588235	51	17	1,457142857	0,485714286
36	Austria	Salzburg	S	0,628571429	1,6	0,235294118	-0,666666667	2,055555556	1,117647059	40	83	1,142857143	2,371428571
36	Mattersburg	LASK	S	0,6	0,257142857	-0,176470588	-0,222222222	0,388888889	0,117647059	43	57	1,228571429	1,628571429
36	Altach	Graz	U	0,342857143	0,657142857	0	-0,888888889	1,055555556	0,235294118	37	69	1,057142857	1,971428571
36	WAC	Rapid	U	0,314285714	0,714285714	-0,411764706	-1,055555556	0,666666667	0,764705882	32	61	0,914285714	1,742857143
