contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2017	07	Sa	0.770833333	6139	6	SKN St. Pölten	SK Rapid Wien	-3	-0.176470588	0.222222222	-1.375	-2.444444444	-0.25	0.6	0.352941176	1.5	173
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	2886	7	SKN St. Pölten	SV Mattersburg	0	-0.333333333	-0.352941176	-1.555555556	-2.444444444	0	-0.75	0.333333333	1.235294118	174
Bundesliga  Bundesliga	2017	08	Sa	0.666666667	3120	6	Wolfsberger AC	SKN St. Pölten	1	0.125	-1.894736842	-0.75	-0.625	-1.4	-2.444444444	0.9375	0.368421053	175
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	2029	14	SKN St. Pölten	SC Rheindorf Altach	-1	-0.25	-0.941176471	-1.4	-2.3	-0.375	-1.444444444	0.35	0.529411765	176
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	2500	6	SKN St. Pölten	FC Admira Wacker Mödling	0	-0.285714286	-1.25	-1.363636364	-2.3	-0.625	-1.875	0.333333333	0.875	177
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	24200	14	SK Rapid Wien	SKN St. Pölten	1	1	-1.727272727	-0.25	0.818181818	-1.25	-2.3	1.578947368	0.363636364	178
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	2200	7	SV Mattersburg	SKN St. Pölten	0	0.611111111	-1.695652174	0	-0.666666667	-1.25	-2.181818182	1.222222222	0.347826087	179
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	2053	13	SKN St. Pölten	Wolfsberger AC	0	-0.208333333	-0.588235294	-1.25	-2	-0.555555556	-0.625	0.375	1.058823529	180
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	3169	7	SC Rheindorf Altach	SKN St. Pölten	3	0.111111111	-1.56	-0.375	-1.2	-1.153846154	-2	0.666666667	0.4	181
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	1600	3	FC Admira Wacker Mödling	SKN St. Pölten	1	0.176470588	-1.615384615	-0.625	-1.666666667	-1.153846154	-2.076923077	0.882352941	0.384615385	182
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	3669	7	SKN St. Pölten	SK Rapid Wien	-5	-0.185185185	0.4	-1.153846154	-2	-0.111111111	0.818181818	0.37037037	1.65	183
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	2381	7	SKN St. Pölten	SV Mattersburg	-3	-0.357142857	-0.315789474	-1.428571429	-2	0	-0.666666667	0.357142857	1.210526316	184
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	1912	6	Wolfsberger AC	SKN St. Pölten	-1	0.166666667	-1.75862069	-0.555555556	-0.555555556	-1.533333333	-2	1.055555556	0.344827586	185
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	1447	7	SKN St. Pölten	SC Rheindorf Altach	-1	-0.4	-0.631578947	-1.533333333	-1.8	0	-1.2	0.433333333	0.789473684	186
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	1346	7	SKN St. Pölten	FC Admira Wacker Mödling	-1	-0.419354839	-1.055555556	-1.5	-1.8	-0.444444444	-1.666666667	0.419354839	1	187
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	9200	7	SK Rapid Wien	SKN St. Pölten	1	1.19047619	-1.625	-0.111111111	1.166666667	-1.470588235	-1.8	1.714285714	0.40625	188
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	2700	7	SV Mattersburg	SKN St. Pölten	0	0.7	-1.606060606	0	-0.3	-1.470588235	-1.75	1.3	0.393939394	189
Bundesliga  Bundesliga	2018	05	Sa	0.770833333	1788	6	SKN St. Pölten	Wolfsberger AC	-1	-0.352941176	-0.578947368	-1.470588235	-1.647058824	-0.6	-0.555555556	0.411764706	1	190
Bundesliga  Bundesliga	2018	05	Sa	0.770833333	3613	7	SC Rheindorf Altach	SKN St. Pölten	-2	0.35	-1.542857143	0	-1	-1.444444444	-1.647058824	0.9	0.4	191
Bundesliga  Bundesliga	2018	05	So	0.729166667	2150	7	FC Admira Wacker Mödling	SKN St. Pölten	-2	0.315789474	-1.444444444	-0.444444444	-1.4	-1.444444444	-1.444444444	1.105263158	0.472222222	192
Relegation Hinspiele	2018	05	Do	0.770833333	3200	4	SC Wiener Neustadt	SKN St. Pölten	-2	0	-1.351351351	0	0	-1.444444444	-1.263157895	0	0.540540541	193
Relegation Rückspiele	2018	06	So	0.645833333	4844	3	SKN St. Pölten	SC Wiener Neustadt	0	-0.157894737	-2	-1.444444444	-1.1	-2	0	0.605263158	0	194
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	0.791666667	400	45	FC Marchfeld Mannsdorf	Wolfsberger AC	-1	0	-0.5	0	0	-0.6	-0.4	0	1.1	195
Bundesliga  Bundesliga	2017	07	Sa	0.770833333	3100	7	SV Mattersburg	Wolfsberger AC	1	0.666666667	-0.428571429	0	-0.3	-0.6	-0.272727273	1.285714286	1.19047619	196
Bundesliga  Bundesliga	2017	08	So	0.6875	3030	8	Wolfsberger AC	SC Rheindorf Altach	1	0.227272727	-0.619047619	-0.6	-0.333333333	-0.2	-1	1.136363636	0.857142857	197
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	2965	7	Wolfsberger AC	FC Admira Wacker Mödling	2	0.260869565	-1	-0.454545455	-0.333333333	-0.6	-1.4	1.217391304	1.05	198
ÖFB-Cup  ÖFB-Cup	2017	09	Di	0.791666667	700	3	FC Gleisdorf 09	Wolfsberger AC	-1	0	-0.291666667	0	0	-0.25	-0.333333333	0	1.291666667	199
Bundesliga  Bundesliga	2017	09	Sa	0.666666667	20600	4	SK Rapid Wien	Wolfsberger AC	2	1.181818182	-0.24	0	1.166666667	-0.25	-0.230769231	1.772727273	1.36	200
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	3230	13	Wolfsberger AC	SV Mattersburg	0	0.461538462	-0.090909091	-0.25	-0.357142857	0.083333333	-0.3	1.307692308	1.363636364	201
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	4560	7	SC Rheindorf Altach	Wolfsberger AC	1	0.227272727	-0.296296296	-0.2	-1	-0.230769231	-0.357142857	0.818181818	1.296296296	202
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	0.770833333	400	4	SV Wimpassing	Wolfsberger AC	1	0	-0.321428571	0	-3	-0.230769231	-0.4	0	1.25	203
