,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
284,Bundesliga,Sa. 02.11.2019,13,,,2662,SKN St. Pölten,,,170,SK Rapid Wien,b3c15d16454b61732707edac39b8487e6b68387761fa766cb69d24533928c837,-:-,2019/20,-,0
285,Bundesliga,Sa. 09.11.2019,14,,,170,SK Rapid Wien,,,3551,SC Rheindorf Altach,377e5303c4784013084bd5b9cbc6e714a9e1a7191652e25df514729ba91ecf6d,-:-,2019/20,-,0
286,Bundesliga,Sa. 23.11.2019,15,,,122,SK Sturm Graz,,,170,SK Rapid Wien,5d918a833756281d5b0c750963d33ae9a218f8d79eb08b36c65a899981a4a08e,-:-,2019/20,-,0
287,Bundesliga,Sa. 30.11.2019,16,,,170,SK Rapid Wien,,,413,LASK,cb08a72a572a318a60ede8bc64b14bf5ec92a26b34621e49ebe25c6c565cd1a5,-:-,2019/20,-,0
288,Bundesliga,Sa. 07.12.2019,17,,,14,FK Austria Wien,,,170,SK Rapid Wien,c5c34d38a55e624ad3a6f7a8c818cdf9746ee8a52c209053d389a796b4c2b02d,-:-,2019/20,-,0
289,Bundesliga,Sa. 14.12.2019,18,,,170,SK Rapid Wien,,,503,FC Admira Wacker Mödling,ef24a520e226b15f60ee282b7492b907c788efa76b3a48e254bf81fddc3abbbb,-:-,2019/20,-,0
290,Bundesliga,Sa. 15.02.2020,19,,,2446,WSG Tirol,,,170,SK Rapid Wien,6b19c534ed0e678eeaac8a5e51a2bf23315c3460eefe7e92be636961e3a97cfd,-:-,2019/20,-,0
291,Bundesliga,Sa. 22.02.2020,20,,,170,SK Rapid Wien,,,4467,TSV Hartberg,87700720a3a9a35297b237099fdf11ce27ede0c3ebf9260399f5260689af3373,-:-,2019/20,-,0
292,Bundesliga,Sa. 29.02.2020,21,,,856,SV Mattersburg,,,170,SK Rapid Wien,16f28d70f833486bc5e0c35888d8c08bd913ea0b0831a9522b306216fa3be4e1,-:-,2019/20,-,0
293,Bundesliga,Sa. 07.03.2020,22,,,170,SK Rapid Wien,,,4441,Wolfsberger AC,ffb0b5b6f91012eb40b40f6fe4d979084566905e179e1005986bc2292bfbe500,-:-,2019/20,-,0
294,ÖFB-Cup,So. 21.07.2019,1.Runde,Dietmar Kühbauer,3-5-2,170,SK Rapid Wien,,,10281,SV Allerheiligen,9fec2e29c0f745ff082828358d1a6ec353a92117d17ce99ff33b665ada1b0eba,1:9,2019/20,17:15,2200
295,ÖFB-Cup,Mi. 25.09.2019,2.Runde,,,409,Red Bull Salzburg,,,170,SK Rapid Wien,da5a424a25775d57cf1f178a0ab807e7d4ddcad34da675d227511780f6b95567,-:-,2019/20,20:45,0
