,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
3291,2. Liga,2017-07-04 18:30:00,27,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,Oliver Glasner,4-4-1-1,413,LASK,f9f859941fe48f2e2162251be342fdf286b8647b414191881deb4cdd60569a55,2:1,2016/17,18:30,2221,1,4,7,2017
3293,2. Liga,2017-04-17 18:30:00,29,Oliver Glasner,4-4-1-1,413,LASK,Klaus Schmidt,4-2-3-1 ,2157,FC Blau Weiß Linz,6ca1f4ead75ab498e3e9a59594b58e6c40dc0c587c47d3c8ab317af0a687f501,1:1,2016/17,18:30,7356,0,17,4,2017
3296,2. Liga,2017-02-05 18:30:00,32,René Wagner,4-2-3-1 ,17444,SC Wiener Neustadt,Oliver Glasner,4-2-3-1 ,413,LASK,fd99393a2f8b221c7e85bfbd66f6a377ba62ad749d9f41b1d543743336c1456c,1:0,2016/17,18:30,2930,6,5,2,2017
3297,2. Liga,2017-05-05 20:30:00,33,Oliver Glasner,4-4-1-1,413,LASK,Thomas Silberberger,4-3-3 defensiv,2446,WSG Wattens,47bed258d3483067989d07a0077fb91e4a2c196ffcbdb23bbec8a4d804c45dd0,2:0,2016/17,20:30,1270,4,5,5,2017
3298,2. Liga,2017-12-05 18:30:00,34,Robert Pflug,4-4-2 doppel 6,2394,SV Kapfenberg,Oliver Glasner,4-4-1-1,413,LASK,751ba7d0e36a7d97b68a0beff2a74eff6e6be2389b9e6f8f6ee1af640a9a49cb,1:1,2016/17,18:30,3330,1,5,12,2017
3299,2. Liga,2017-05-19 19:30:00,35,Dominik Glawogger,4-2-3-1 ,7443,Floridsdorfer AC,Oliver Glasner,4-4-1-1,413,LASK,fe238666adfbb5087ebb5d425eecb9dfd141cb6e2c6a3ab33caed5db7a4d8c8a,2:2,2016/17,19:30,3526,4,19,5,2017
3300,2. Liga,2017-05-26 19:30:00,36,Oliver Glasner,4-4-1-1,413,LASK,Christoph Westerthaler,4-2-3-1 ,10044,SV Horn,07ad3b9e4b5a12639070cdfb702b5541b16abba59a98b8ba60faf676db7cb8b2,1:2,2016/17,19:30,1000,4,26,5,2017
3301,ÖFB-Cup,2016-07-15 19:00:00,1.Runde,Oliver Glasner,4-4-1-1,413,LASK,,,4320,SC/ESV Parndorf,892de865df830b3e3c28e32838ee9da6389647cd1136b7e49c6bf5e31b1902f5,2:3  n.V.,2016/17,19:00,500,4,15,7,2016
3302,ÖFB-Cup,2016-09-20 19:00:00,2.Runde,Oliver Glasner,4-4-1-1,413,LASK,,,2466,SC Kalsdorf,898b138ea460ed4bb5ccfb9bf9d86b5a55240f7d9b625bc12d38b82dad94b65b,1:2,2016/17,19:00,500,1,20,9,2016
3303,ÖFB-Cup,2016-10-25 19:30:00,Achtelfinale,Oliver Glasner,4-4-1-1,413,LASK,,,12210,SKU Amstetten,aad8e17b969ed66cfaed9dede8aae86c185e731c63a5d4c056f98fd46cf39da9,3:4  n.V.,2016/17,19:30,3000,1,25,10,2016
3304,ÖFB-Cup,2017-04-04 20:30:00,Viertelfinale,Oliver Glasner,4-4-1-1,413,LASK,,,10131,SV Grödig,cfe0f6bd2f8df785faee3f54a23f74e4f6afb7b8c4cee31935f912f0715f2908,0:3,2016/17,20:30,1260,1,4,4,2017
3305,ÖFB-Cup,2017-04-26 20:30:00,Halbfinale,Oliver Glasner,4-4-1-1,413,LASK,,,170,SK Rapid Wien,6715dddd0400c701e5db559d8235a4ae3dbed8f35117edd42d293bc524d5d21c,2:1,2016/17,20:30,18200,2,26,4,2017
3306,2. Liga,2016-07-22 18:30:00,1,René Wagner,4-1-4-1,17444,SC Wiener Neustadt,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,b00298632ce5ff0ba911721755d657ff68baae2c67f1ddff4502f2d6e222d919,3:1,2016/17,18:30,900,4,22,7,2016
3308,2. Liga,2016-05-08 18:30:00,3,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Masanori Hamayoshi,4-2-3-1 ,10044,SV Horn,5f03cfc8a4bb6ca202c8a7ae07576e04de9d345e3c2a5e8762645c294e49cc3b,1:2,2016/17,18:30,712,6,8,5,2016
3310,2. Liga,2016-08-16 18:30:00,5,Thomas Silberberger,4-1-4-1,2446,WSG Wattens,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,7e956e300900b447ebfb21844c7eb6a529ef33f921206042060a85a32e6f3639,3:0,2016/17,18:30,1300,1,16,8,2016
3313,2. Liga,2016-09-09 18:30:00,8,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Wilhelm Wahlmüller,4-2-3-1 ,2157,FC Blau Weiß Linz,f91f81a12299d06b2e93576784f34d1c845c7476f849b73b3a6ea2314d99850b,0:1,2016/17,18:30,1100,4,9,9,2016
3314,2. Liga,2016-09-13 18:30:00,9,Jürgen Halper,4-2-3-1 ,7443,Floridsdorfer AC,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,a5e98a84ae049279db4995ee6a945ea7faec72d4fc82b09027270a63859d8871,2:0,2016/17,18:30,920,1,13,9,2016
3315,2. Liga,2016-09-16 18:30:00,10,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,a63074763e4187a579f4c685f9aea800f8497df74ac30fd8ad2b57ac57f42ee6,2:0,2016/17,18:30,660,4,16,9,2016
3317,2. Liga,2016-09-30 18:30:00,12,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,ae30220b99a1c8b8cff3291ceec6e0a0005ee2a290a4fbafeb5b07f85fc8da61,1:0,2016/17,18:30,840,4,30,9,2016
3319,2. Liga,2016-10-18 18:30:00,14,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Thomas Silberberger,4-3-3 offensiv,2446,WSG Wattens,7e03ee5f403736c8d7c136737b12e5fa3f390447732667bdb69d1069e317003e,3:3,2016/17,18:30,1200,1,18,10,2016
3322,2. Liga,2016-04-11 20:30:00,17,Klaus Schmidt,4-4-2 doppel 6,2157,FC Blau Weiß Linz,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,b40cc2e80f92bb0ecb9418d54d2351d18d01d47d85d6dff37864f9bb48a5fab2,2:2,2016/17,20:30,520,0,11,4,2016
3323,2. Liga,2016-11-18 18:30:00,18,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Jürgen Halper,4-2-3-1 ,7443,Floridsdorfer AC,d7fcebc5ff45406e5ddac827cae7974643e0ef5958c727916688e48b13832a06,0:1,2016/17,18:30,600,4,18,11,2016
3324,2. Liga,2016-11-25 18:30:00,19,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,Abdulah Ibrakovic,4-1-4-1,2394,SV Kapfenberg,6c5f520b9cecbf99ae82cc39e21c5d06209e222e20a7f9993054cb76ff478b66,0:3,2016/17,18:30,620,4,25,11,2016
3326,2. Liga,2017-02-24 18:30:00,21,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,7980ede1e072b509af7733d1b800dfecf6d5a75f52317dad7520698a3ed7a4c2,2:1,2016/17,18:30,870,4,24,2,2017
3328,2. Liga,2017-10-03 18:30:00,23,Thomas Silberberger,3-4-3 flach,2446,WSG Wattens,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,8e79e1ae252805bc2a8f7f60041b1ce3c02501b32a7f7c24f82540c2a5fe3241,2:1,2016/17,18:30,520,1,3,10,2017
3331,2. Liga,2017-03-31 18:30:00,26,Abdulah Ibrakovic,3-4-3 flach,2394,SV Kapfenberg,Klaus Schmidt,4-4-1-1,2157,FC Blau Weiß Linz,3e3e83a9d7ac27b226d8d70432693f69cc9ab4170a986f1790648b6d1160ce06,1:2,2016/17,18:30,1050,4,31,3,2017
3332,2. Liga,2017-08-04 16:00:00,27,Franz Maresch,4-4-2 doppel 6,7443,Floridsdorfer AC,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,7f7e6cc10b3601c508d4e8f813014c362c3bf5a10232f1636fb2a20a01ae0407,0:1,2016/17,16:00,910,4,4,8,2017
3333,2. Liga,2017-04-14 18:30:00,28,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,c74c207d1c23211fc340d421b856451162b75c56cd0ebe7e9c7191a9eff9782f,3:1,2016/17,18:30,800,4,14,4,2017
3335,2. Liga,2017-04-21 18:30:00,30,Masanori Hamayoshi,4-2-3-1 ,10044,SV Horn,Abdulah Ibrakovic,5-4-1 flach,2394,SV Kapfenberg,3d152bdb0800ba009807645e392a66fc367ebab9452fed4d764bc86771b629d9,1:1,2016/17,18:30,650,4,21,4,2017
3337,2. Liga,2017-02-05 18:30:00,32,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Thomas Silberberger,4-2-3-1 ,2446,WSG Wattens,a28d228dbaa1b3066135d649503ac8888a4fbd4ff19885a1c2d0726f09498681,4:1,2016/17,18:30,1090,6,5,2,2017
3340,2. Liga,2017-05-19 19:30:00,35,Klaus Schmidt,4-2-3-1 ,2157,FC Blau Weiß Linz,Robert Pflug,4-4-2,2394,SV Kapfenberg,55d46bc49d015de3a6ffeb53bc916ff286c91f04df224ecc92556d66b246f091,3:2,2016/17,19:30,1000,4,19,5,2017
3341,2. Liga,2017-05-26 19:30:00,36,Robert Pflug,4-2-3-1 ,2394,SV Kapfenberg,Dominik Glawogger,4-2-3-1 ,7443,Floridsdorfer AC,20eb922e4524a8ec5ddf5369672c208fcb6c0c6d9fe315825eb107a4bd551e3f,3:1,2016/17,19:30,2000,4,26,5,2017
3342,ÖFB-Cup,2016-07-15 19:30:00,1.Runde,Abdulah Ibrakovic,4-4-2 Raute,2394,SV Kapfenberg,,,22118,SVg Purgstall,d6a8ae05357fcb150e9ca9c14e1daa756393d00a286ac0827f24c5445c59f716,0:6,2016/17,19:30,550,4,15,7,2016
3343,ÖFB-Cup,2016-09-20 19:00:00,2.Runde,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,,,19644,Union Gurten,920642fd7320e64d162351980e7c1bb97e617177763076550df7b10d4d7e4f20,2:4,2016/17,19:00,650,1,20,9,2016
3344,ÖFB-Cup,2016-10-25 19:00:00,Achtelfinale,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,,,19536,SV Lafnitz,3f17a7f03c39ec9cfbf849f01f0064e6df2e9dc44c4ef1443ca51d6cf9ac49d3,1:5,2016/17,19:00,1160,1,25,10,2016
3345,ÖFB-Cup,2017-05-04 19:00:00,Viertelfinale,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,,,409,Red Bull Salzburg,832790cb90eb1a6c28b56d60caa6acf285d6459b989df90fb71059161ecc25a1,2:1  n.V.,2016/17,19:00,2856,3,4,5,2017
3346,2. Liga,2016-07-22 18:30:00,1,Thomas Silberberger,4-2-3-1 ,2446,WSG Wattens,Wilhelm Wahlmüller,4-4-1-1,2157,FC Blau Weiß Linz,394ea84e919ed0a17dc72492d5241f09fb5668c39ace4ccef4189564fb08bf28,0:3,2016/17,18:30,1400,4,22,7,2016
