,pred,actual
1204,-0.418,-1
1205,-1.914,-3
1206,-0.432,-1
1207,-2.293,-3
1208,-0.763,0
1209,2.305,3
1210,-0.457,-1
1211,0.464,1
1212,-2.483,-2
1213,-3.061,-4
1214,1.029,1
1215,0.141,0
1216,0.995,1
1217,-0.385,-1
1218,0.636,0
1219,0.994,1
1220,2.989,4
1221,-0.467,-1
1222,1.16,2
1223,1.772,2
1224,0.59,1
1225,1.793,2
1226,-0.09,-1
1227,-1.308,-2
1228,-2.131,-3
1229,-1.734,-2
1230,-0.428,-1
1231,0.506,2
1232,-0.688,-1
1233,1.203,1
1234,0.972,1
1235,0.503,1
1236,1.617,2
1237,-0.045,-1
1238,-0.851,-1
1239,-0.748,-1
1240,0.385,1
1241,0.206,0
1242,0.477,1
1243,0.134,0
1244,0.345,0
1245,-0.647,-1
1246,-0.492,-1
1247,-0.4,-1
1248,0.988,1
1249,0.892,1
1250,0.814,1
1251,2.137,3
1252,2.342,3
1253,-1.636,-2
1254,0.214,0
1255,2.996,4
1256,-0.385,-1
1257,1.782,2
1258,-3.502,-5
1259,0.987,2
1260,-1.604,-1
1261,-0.455,-1
1262,-0.144,-1
1263,1.83,2
1264,2.006,3
1265,-3.532,-5
1266,-0.87,-1
1267,-0.076,0
1268,2.316,3
1269,0.488,0
1270,-0.058,0
1271,-0.393,0
1272,1.568,3
1273,-4.851,-7
1274,2.445,3
1275,-0.714,-1
1276,2.019,2
1277,-1.002,-1
1278,0.207,0
1279,0.435,1
1280,-0.448,-1
1281,-3.152,-5
1282,-0.647,-1
1283,0.841,1
1284,0.179,-1
1285,-0.065,0
1286,-0.177,0
1287,-0.23,-1
1288,1.098,1
1289,-3.173,-3
1290,2.554,3
1291,0.761,1
1292,-5.197,-7
1293,-0.16,0
1294,1.031,2
1295,-0.877,-1
1296,-0.05,0
1297,2.378,3
1298,2.5,4
1299,1.384,2
1300,1.089,1
1301,-0.345,-1
1302,1.151,2
1303,-0.359,-1
1304,0.262,0
1305,-2.934,-3
1306,-0.944,-2
1307,-1.242,-2
1308,1.41,2
1309,-0.152,0
1310,0.784,2
1311,-0.509,-1
1312,1.364,1
1313,-0.878,-2
1314,-1.069,-1
1315,-0.708,-1
1316,3.344,5
1317,-0.024,-1
1318,-0.111,0
1319,1.325,1
1320,0.817,1
1321,2.113,3
1322,0.733,1
1323,0.078,0
1324,-2.486,-3
1325,-0.099,0
1326,1.55,2
1327,-1.31,-2
1328,-1.44,-1
1329,0.402,0
1330,-0.726,-1
1331,0.006,0
1332,1.008,1
1333,0.936,1
1334,0.146,0
1335,3.4,5
1336,0.689,1
1337,0.52,1
1338,4.987,6
1339,2.331,3
1340,1.725,2
1341,-2.486,-3
1342,-0.609,-1
1343,0.448,1
1344,1.794,2
1345,-0.324,-1
1346,0.827,1
1347,1.008,1
1348,-3.089,-3
1349,-2.75,-3
1350,-1.95,-3
1351,-1.019,-1
1352,2.804,3
1353,-0.713,-1
1354,-2.26,-3
1355,0.229,0
1356,1.346,0
1357,0.405,0
1358,2.391,3
1359,-1.055,-1
1360,1.223,2
1361,1.679,2
1362,-0.005,0
1363,-0.72,-2
1364,-0.013,0
1365,0.668,1
1366,0.153,1
1367,1.014,1
1368,2.211,3
1369,-0.787,-1
1370,2.147,3
1371,-0.233,-1
1372,2.457,3
1373,-3.539,-4
1374,0.278,0
1375,1.528,2
1376,0.259,0
1377,-0.396,0
1378,0.785,1
1379,-1.956,-3
1380,-0.264,0
1381,1.567,2
1382,0.471,1
1383,-1.813,-3
1384,-4.397,-6
1385,1.649,2
1386,3.665,5
1387,0.221,0
1388,-1.601,-2
1389,-0.153,0
1390,1.595,3
1391,0.825,1
1392,1.137,1
1393,1.336,2
1394,-1.551,-3
1395,0.522,0
1396,0.674,1
1397,2.388,3
1398,2.579,4
1399,-1.112,-1
1400,2.396,3
1401,-0.63,-1
1402,0.075,1
1403,1.604,2
1404,1.129,2
1405,1.945,3
1406,0.483,0
1407,0.471,1
1408,1.918,3
1409,-0.61,-1
1410,1.624,2
1411,-0.814,-2
1412,1.466,2
1413,0.282,0
1414,-4.655,-6
1415,2.683,3
1416,2.331,3
1417,-0.385,-1
1418,1.662,2
1419,-1.971,-2
1420,-2.138,-3
1421,0.493,1
1422,0.815,1
1423,1.321,2
1424,-0.124,0
1425,1.37,2
1426,1.802,2
1427,-0.508,-1
1428,1.216,2
1429,2.164,3
1430,1.26,2
1431,-1.273,-2
1432,0.491,0
1433,-0.009,0
1434,-1.376,-2
1435,0.702,1
1436,0.729,1
1437,0.614,1
1438,0.569,1
1439,-0.447,-1
1440,-1.724,-2
1441,-0.833,-2
1442,2.484,3
1443,1.123,1
1444,0.777,1
1445,-2.165,-3
1446,0.179,0
1447,-0.7,-1
1448,2.042,3
1449,0.48,1
1450,-0.327,0
1451,-0.414,-1
1452,3.436,4
1453,0.092,0
1454,0.794,1
1455,-2.111,-3
1456,-1.556,-1
1457,3.183,4
1458,-2.993,-4
1459,0.617,1
1460,1.916,3
1461,1.554,2
1462,0.601,1
1463,1.591,2
1464,-0.3,0
1465,2.285,3
1466,2.267,3
1467,0.01,0
1468,0.599,0
1469,-0.717,-2
1470,3.466,5
1471,-1.461,-2
1472,0.127,0
1473,1.512,2
1474,0.008,-1
1475,-0.576,-1
1476,1.157,1
1477,1.086,1
1478,0.419,1
1479,0.067,0
1480,2.138,3
1481,-2.817,-4
1482,3.711,5
1483,0.052,0
1484,0.153,0
1485,-0.358,0
1486,3.631,5
1487,0.519,1
1488,-4.073,-5
1489,0.505,1
1490,-1.545,-2
1491,-0.103,0
1492,-2.793,-4
1493,1.541,2
1494,1.466,2
1495,0.872,1
1496,-0.299,-1
1497,-1.687,-3
1498,-3.708,-5
1499,0.355,0
1500,-0.133,0
1501,1.967,3
1502,0.161,-1
1503,0.169,1
1504,0.738,0
1505,-0.242,0
1506,2.098,3
1507,1.787,3
1508,-0.916,-1
1509,0.889,1
1510,0.109,0
1511,1.306,2
1512,0.657,0
1513,-0.01,0
1514,-2.05,-3
1515,-1.58,-2
1516,0.025,0
1517,4.362,6
1518,-5.146,-7
1519,1.398,2
1520,-0.762,0
1521,-1.498,-1
1522,0.164,1
1523,-4.158,-5
1524,1.263,1
1525,1.641,2
